1796.57;631;3630.43;82.42;58;41.74
3755.14;1364.86;7011.29;81.74;58.43;64.04
3424.57;1361.86;6940.29;82.69;76.29;64.04
3086.71;1047.71;7324.43;86.01;86.29;64.04
5191.43;874.86;7359.57;91.1;108.43;8.88
5211.71;1259.86;7106.57;92.53;119.86;10.82
4963.29;1188.86;6719.43;91.29;96.57;8.88
4779.43;1091.86;7229.29;89.61;86.29;5.14
4651.57;1271.29;7459.14;88.5;77.71;6.97
4937.43;1322.43;7658.57;86.75;70;4.12
5766.57;1339.71;7917.14;85.06;75.86;8.38
6448.14;1249.57;7728.86;81.26;73.57;12.32
4778.57;1205;7284.57;77.05;69.71;11.21
4109;1241.29;7106.43;75.08;60;11.64
4454.29;1257.14;7428.57;72.22;52.71;11.09
5102.86;1215.71;7342.86;68.4;50.43;17.03
4855.71;1182.57;7258.43;65.03;54.29;16.37
4753.29;1106.43;6851.71;60.61;51;20.03
5015.14;1164.57;7021.71;57.7;47.43;26.29
4373.14;1116;7216.43;55.99;46.57;19.99
4485.71;1128.29;6916;65.48;90.29;22.81
4091.71;1132.14;6655.71;73.4;107.57;11.11
5391.71;1188.14;7063.86;74.5;58.71;4
5908.43;1205.14;7008.86;75.03;78.71;13.96
7175.71;765.71;6932;74.33;106.43;13.31
7024.43;665.29;6866.14;70.7;99.14;13.71
6969;741.29;6936.29;66.71;91.71;15.83
6439.43;761.57;6870.43;63.42;80.14;17.56
6028.57;799.71;6746.29;59.51;66;17.75
5739.71;804.57;6809.57;55.54;58.29;16.08
4472.29;820.43;6796.14;54.39;78;14.61
4819.57;869.14;6831.86;59.26;137.57;13.56
7005.29;737.29;6902.71;62.43;130.29;9.23
7132.29;774.71;6973.71;59.79;113.43;9.85
5658.14;802.14;6979.14;60.42;114.14;11.79
5786.86;780.43;6694.29;58.49;57.57;6.85
5202.43;856.14;6632.29;58.04;57.43;6.5
5606;1043.29;6756;63.62;84.29;5.86
6369;1154.29;6769.43;74.65;122.57;4.59
7065.71;793.86;7060.71;80.78;143.14;4
7373.14;896.29;7332;88.19;169.14;4
6769.71;866.86;7204.43;90.77;150.57;4
7353.14;529.29;7184.43;92.78;138.71;4
7910.29;579.57;7125.43;95.33;152.57;7.18
7233.57;645;6879.71;96.5;196.57;4
7746.57;590.43;6897.57;96.93;201.57;4
8225.86;481.57;6181.08;96.74;195.43;4
8149.71;567.29;7562.43;96.4;182.86;5.39
7960.43;506.29;7402.86;97.1;308.43;5.14
7580.86;595.71;7244.86;97.16;298.57;4
6934.29;585.57;7543.14;96.71;257.71;4
6894.57;685.14;6300.86;97.01;235;4
4103;322.57;3712.43;97.46;231;4
8126.43;494.43;7391.57;96.01;139;4
7493.57;557.43;7503.43;93.84;132.57;4
7268.57;545.71;7637.14;90.09;122;4
6405.29;618.43;7542.14;86.5;113.43;4
6144.29;780.14;7996.86;84.21;84.57;4
5409.14;825.71;7645.57;83.71;92;4
5070;886.14;7583.14;84.39;95.14;4
5538;943.29;7917.43;88.63;106.57;4
5488.57;958.29;7536.43;90.19;110.14;4
6074;955.71;7752.43;92.81;136.29;4
6241.86;901.86;7570.71;93.61;137.29;4
5998.43;914.57;7385.14;91.73;124.43;4
6505.86;769.57;7529.57;86.95;80;4
5671.29;839.14;7240.71;82.39;65.86;5.48
4006.29;1001.71;6918.14;78.18;57.57;5.48
4106.57;951.29;6927.29;76.56;56.29;5.48
4405;941.57;7128.57;73.96;67;5.48
4690.86;878.57;6934.57;73.87;90;6.51
5399.14;856.57;7111;69.88;61;6.6
5082.57;858.43;7253.86;64.56;50.14;7.18
4333;858.86;6863.43;60.85;47.14;8.44
4395.71;889.57;7077.29;57.82;35.71;11.83
4808.29;828.86;7096.57;62.15;83.29;11.87
5293.14;868.86;6874.71;64.66;91;9.05
5471.14;1022.29;7017.57;63.66;84.86;10.66
5377;727;7007.71;59.96;51.14;13.27
4461.86;679.71;7026.57;866.29;41.43;14.29
4738.43;676.43;6972.14;58.46;57.43;16.83
5157.86;795.29;7062;61.48;68.86;11.62
4739.14;777.86;7051.86;60.99;63.43;11.96
4299;858.57;7070;58.61;41.86;17.11
4343.86;674.86;6983.14;55.68;37.43;18.14
4118.57;912.29;7051.71;52.62;35.57;17.87
4001.29;998.43;7048;49.35;34.14;16.64
3930;924.29;7087.29;45.73;21.43;17.11
3745.71;939.71;7095.71;42.1;19.14;17.92
3738.43;933.71;7086.71;39.41;22.29;17.07
3988.29;926.86;7335.71;36.13;22.57;17.91
3802.29;881.57;7249.71;33.46;23.57;24.2
4039.14;881.57;7342.57;30.92;25.71;26.93
3302.29;1059.71;7062.29;30.85;35;27.06
3166.29;1192;7330;30.04;34.14;22.53
3255.29;1067.71;7253;32.07;39.14;27.37
2907;1202.86;7027;34.2;56.86;23.82
3304;1094.71;7580;33.06;46;29.46
4383.14;999.71;7301.43;35.01;61.71;34.15
4805;992.29;7730.71;39.47;79.29;28.71
4569.57;1069.14;7840.86;40.45;74;24.33
