Hidraulica;Termica;CARGA;EARM;ENA;Pesado
897.86;202;1608.86;14.19;28.5;58.24
3552.29;1027;6293;14.42;27.29;412.83
3273.57;1082.14;6180.71;16.37;32;315.21
3320.14;721.43;5858.86;21.21;41;315.21
4400.43;429.71;5760.71;29.6;55.14;255.33
5520.14;224.57;5779.71;35.8;160;18.59
5745;254;6031.57;39.89;180.43;18.59
5132.14;315.57;6045.71;44.37;147.86;18.59
4346.71;269.14;5874;49.58;133.57;18.59
4505.43;281.57;6170;56.7;141.57;18.59
4358;213.29;6157.43;64.05;146.71;18.59
4169.43;303.14;6100;70.74;149.57;18.59
3850.86;319.43;6239.57;77.87;152.29;18.59
4910.57;346.86;6295;82.68;154;18.59
5010.71;336.86;6095.14;86.55;167.14;18.59
5147.43;334.29;6259.14;91.44;159.71;18.59
5637.29;353.43;6147.71;94.11;149.43;18.59
5664.57;354.71;6210;97.01;145.57;18.59
5487.86;399.86;6076.57;97.44;220.43;18.59
5682.57;372.57;6254.71;97.5;173.14;18.59
5394;408.43;6245.86;97.34;153;18.59
4927.57;380;6178.14;97.23;135;18.59
5362.86;145.71;6114.29;96.72;105;18.59
4699.71;377.43;6032.29;96.43;92;18.59
4255.86;521;6043.57;96.14;90.43;18.59
4205.29;492.43;5870.71;95.73;88;18.59
4494.86;283.14;5937.57;95.13;89.29;18.59
4896.29;187.43;6033;94.19;88.71;18.59
4933.29;291.71;6084.71;93.42;91.43;18.59
4587;330.29;6036.43;92.57;100;18.59
4774.86;337.57;5987.57;91.12;99.29;18.59
5140.29;160.14;6096.57;89.66;99.43;18.59
5216.57;235.43;6104.29;88;96;18.59
5460;280.43;6081.43;86.44;92.86;18.59
5682.71;288.57;6393.29;84.87;90.86;18.59
5826;387.14;6460.29;83.09;85.71;18.59
5657.29;400.14;6283.29;80.83;84.86;18.59
5991.86;279.71;6457;78.47;86;18.59
5065.56;308.29;6531;76.33;87;18.59
5872.14;427;6507.71;74.12;83;18.59
5618.29;437.29;6546;71.87;69.43;18.59
5988.43;375.71;6525;69.77;67.86;18.59
6070.29;391.29;6697.14;67.82;67.43;18.59
6167.14;407.14;6733.43;65.4;68;18.59
5596.57;306.86;6555.14;63.47;52.57;18.59
6080.29;373.86;6816.43;61.35;49.57;18.59
5907.43;416.71;6724;59.33;50.14;18.59
6081.43;380.43;6681;863.48;49;18.59
5848.71;423.71;6313.14;56.35;43.14;18.59
5876.57;230.86;6800.43;55.26;38.29;18.59
5679.86;259.57;6795;54.85;41;18.59
5499.57;292.71;6790;55.25;45;18.59
4962;377.29;6521.43;57.46;49.71;18.59
